Guide1,Guide2,Library read counts,Rep1,Rep2,Gene1,Gene2
AHR-KO-1,AHR-KO-1,31,422,998,AHR,AHR
AHR-KO-1,AHR-KO-2,35,98,86,AHR,AHR
AHR-KO-1,AHR-KO-3,57,484,460,AHR,AHR
AHR-KO-1,AHR-KO-4,20,142,24,AHR,AHR
AHR-KO-1,ARNT-KO-1,33,311,282,AHR,ARNT
AHR-KO-1,ARNT-KO-2,31,158,118,AHR,ARNT
AHR-KO-1,ARNT-KO-3,25,19,61,AHR,ARNT
AHR-KO-1,ARNT-KO-4,27,46,101,AHR,ARNT
AHR-KO-1,BBX-KO-1,12,7,68,AHR,BBX
AHR-KO-1,BBX-KO-2,31,0,190,AHR,BBX
AHR-KO-1,BBX-KO-3,27,68,32,AHR,BBX
AHR-KO-1,BBX-KO-4,32,40,27,AHR,BBX
AHR-KO-1,C3orf17-KO-1,32,0,7,AHR,C3orf17
AHR-KO-1,C3orf17-KO-2,40,14,54,AHR,C3orf17
AHR-KO-1,C3orf17-KO-3,40,3,33,AHR,C3orf17
AHR-KO-1,C3orf17-KO-4,23,1,7,AHR,C3orf17
AHR-KO-1,CAND1-KO-1,49,75,0,AHR,CAND1
AHR-KO-1,CAND1-KO-2,25,57,26,AHR,CAND1
AHR-KO-1,CAND1-KO-3,29,1,12,AHR,CAND1
AHR-KO-1,CAND1-KO-4,63,123,19,AHR,CAND1
AHR-KO-1,CCT4-KO-1,40,102,5,AHR,CCT4
AHR-KO-1,CCT4-KO-2,23,1,0,AHR,CCT4
AHR-KO-1,CCT4-KO-3,39,0,0,AHR,CCT4
AHR-KO-1,CCT4-KO-4,49,12,19,AHR,CCT4
AHR-KO-1,DIMT1-KO-1,34,26,73,AHR,DIMT1
AHR-KO-1,DIMT1-KO-2,30,50,72,AHR,DIMT1
AHR-KO-1,DIMT1-KO-3,43,130,55,AHR,DIMT1
AHR-KO-1,DIMT1-KO-4,84,33,7,AHR,DIMT1
AHR-KO-1,EFTUD2-KO-1,45,100,15,AHR,EFTUD2
AHR-KO-1,EFTUD2-KO-2,51,257,37,AHR,EFTUD2
AHR-KO-1,EFTUD2-KO-3,30,0,0,AHR,EFTUD2
AHR-KO-1,EFTUD2-KO-4,29,41,46,AHR,EFTUD2
AHR-KO-1,EIF3B-KO-1,45,44,76,AHR,EIF3B
AHR-KO-1,EIF3B-KO-2,58,69,116,AHR,EIF3B
AHR-KO-1,EIF3B-KO-3,37,0,23,AHR,EIF3B
AHR-KO-1,EIF3B-KO-4,50,139,10,AHR,EIF3B
AHR-KO-1,FRYL-KO-1,30,321,473,AHR,FRYL
AHR-KO-1,FRYL-KO-2,34,106,240,AHR,FRYL
AHR-KO-1,FRYL-KO-3,47,117,111,AHR,FRYL
AHR-KO-1,FRYL-KO-4,32,4,102,AHR,FRYL
AHR-KO-1,IARS-KO-1,26,4,0,AHR,IARS
AHR-KO-1,IARS-KO-2,24,23,0,AHR,IARS
AHR-KO-1,IARS-KO-3,21,44,0,AHR,IARS
AHR-KO-1,IARS-KO-4,28,0,1,AHR,IARS
AHR-KO-1,KEAP1-KO-1,35,21,47,AHR,KEAP1
AHR-KO-1,KEAP1-KO-2,34,163,37,AHR,KEAP1
AHR-KO-1,KEAP1-KO-3,57,257,141,AHR,KEAP1
AHR-KO-1,KEAP1-KO-4,37,146,10,AHR,KEAP1
AHR-KO-1,KIRREL-KO-1,36,34,210,AHR,KIRREL
AHR-KO-1,KIRREL-KO-2,24,111,63,AHR,KIRREL
AHR-KO-1,KIRREL-KO-3,103,434,558,AHR,KIRREL
AHR-KO-1,KIRREL-KO-4,50,197,305,AHR,KIRREL
AHR-KO-1,NARS-KO-1,39,0,0,AHR,NARS
AHR-KO-1,NARS-KO-2,15,0,18,AHR,NARS
AHR-KO-1,NARS-KO-3,57,1,44,AHR,NARS
AHR-KO-1,NARS-KO-4,20,130,17,AHR,NARS
AHR-KO-1,NCL-KO-1,30,0,0,AHR,NCL
AHR-KO-1,NCL-KO-2,40,132,14,AHR,NCL
AHR-KO-1,NCL-KO-3,30,0,2,AHR,NCL
AHR-KO-1,NCL-KO-4,16,73,105,AHR,NCL
AHR-KO-1,NF2-KO-1,24,104,316,AHR,NF2
AHR-KO-1,NF2-KO-2,36,253,218,AHR,NF2
AHR-KO-1,NF2-KO-3,39,138,204,AHR,NF2
AHR-KO-1,NF2-KO-4,46,244,196,AHR,NF2
AHR-KO-1,NHT-KO-20,6,44,17,AHR,NHT
AHR-KO-1,NHT-KO-25,47,142,293,AHR,NHT
AHR-KO-1,NHT-KO-8,15,108,102,AHR,NHT
AHR-KO-1,NHT-KO-9,83,425,204,AHR,NHT
AHR-KO-1,NHT-KO-26,39,122,196,AHR,NHT
AHR-KO-1,NHT-KO-41,64,260,249,AHR,NHT
AHR-KO-1,NHT-KO-44,73,309,235,AHR,NHT
AHR-KO-1,NHT-KO-149,53,226,107,AHR,NHT
AHR-KO-1,NHT-KO-5,30,56,147,AHR,NHT
AHR-KO-1,NHT-KO-148,58,259,79,AHR,NHT
AHR-KO-1,NHT-KO-16,47,444,259,AHR,NHT
AHR-KO-1,NHT-KO-156,27,220,188,AHR,NHT
AHR-KO-1,NHT-KO-4,24,109,167,AHR,NHT
AHR-KO-1,NHT-KO-128,42,244,143,AHR,NHT
AHR-KO-1,NHT-KO-19,46,242,244,AHR,NHT
AHR-KO-1,NHT-KO-152,50,395,152,AHR,NHT
AHR-KO-1,NHT-KO-137,40,143,80,AHR,NHT
AHR-KO-1,NHT-KO-38,45,332,270,AHR,NHT
AHR-KO-1,NHT-KO-1,30,135,117,AHR,NHT
AHR-KO-1,NHT-KO-12,24,81,36,AHR,NHT
AHR-KO-1,NHT-KO-124,64,149,242,AHR,NHT
AHR-KO-1,NHT-KO-135,42,36,129,AHR,NHT
AHR-KO-1,NHT-KO-39,43,9,3,AHR,NHT
AHR-KO-1,NHT-KO-23,32,234,106,AHR,NHT
AHR-KO-1,NHT-KO-153,49,356,152,AHR,NHT
AHR-KO-1,NHT-KO-24,36,335,69,AHR,NHT
AHR-KO-1,NHT-KO-3,48,387,148,AHR,NHT
AHR-KO-1,NHT-KO-36,26,161,130,AHR,NHT
AHR-KO-1,NHT-KO-154,23,50,43,AHR,NHT
AHR-KO-1,NHT-KO-31,16,105,191,AHR,NHT
AHR-KO-1,NHT-KO-150,67,681,392,AHR,NHT
AHR-KO-1,NHT-KO-33,48,20,112,AHR,NHT
AHR-KO-1,NHT-KO-139,28,688,500,AHR,NHT
AHR-KO-1,NHT-KO-42,34,6,282,AHR,NHT
AHR-KO-1,NHT-KO-142,36,408,185,AHR,NHT
AHR-KO-1,NHT-KO-140,60,448,356,AHR,NHT
AHR-KO-1,NHT-KO-136,67,704,196,AHR,NHT
AHR-KO-1,NHT-KO-28,24,56,36,AHR,NHT
AHR-KO-1,NHT-KO-29,24,206,146,AHR,NHT
AHR-KO-1,NHT-KO-21,43,196,143,AHR,NHT
AHR-KO-1,NHT-KO-126,35,60,108,AHR,NHT
AHR-KO-1,NHT-KO-133,67,108,108,AHR,NHT
AHR-KO-1,NHT-KO-30,76,597,445,AHR,NHT
AHR-KO-1,NHT-KO-13,59,527,134,AHR,NHT
AHR-KO-1,NHT-KO-7,23,6,63,AHR,NHT
AHR-KO-1,NHT-KO-129,38,7,106,AHR,NHT
AHR-KO-1,NHT-KO-37,37,304,256,AHR,NHT
AHR-KO-1,NHT-KO-131,28,34,89,AHR,NHT
AHR-KO-1,NHT-KO-32,50,162,297,AHR,NHT
AHR-KO-1,NHT-KO-27,41,95,149,AHR,NHT
AHR-KO-1,NHT-KO-147,15,24,26,AHR,NHT
AHR-KO-1,NHT-KO-144,53,405,224,AHR,NHT
AHR-KO-1,NHT-KO-10,36,204,159,AHR,NHT
AHR-KO-1,NHT-KO-155,50,19,61,AHR,NHT
AHR-KO-1,NHT-KO-145,22,118,68,AHR,NHT
AHR-KO-1,NHT-KO-6,43,383,318,AHR,NHT
AHR-KO-1,NHT-KO-2,28,146,228,AHR,NHT
AHR-KO-1,NHT-KO-127,27,202,121,AHR,NHT
AHR-KO-1,NHT-KO-141,29,196,77,AHR,NHT
AHR-KO-1,NHT-KO-11,18,257,344,AHR,NHT
AHR-KO-1,NHT-KO-22,43,909,801,AHR,NHT
AHR-KO-1,NHT-KO-122,10,381,58,AHR,NHT
AHR-KO-1,NHT-KO-125,29,9,137,AHR,NHT
AHR-KO-1,NHT-KO-17,28,218,471,AHR,NHT
AHR-KO-1,NHT-KO-123,29,88,13,AHR,NHT
AHR-KO-1,NHT-KO-146,8,99,3,AHR,NHT
AHR-KO-1,NHT-KO-130,46,83,88,AHR,NHT
AHR-KO-1,NHT-KO-138,32,329,333,AHR,NHT
AHR-KO-1,NHT-KO-143,25,60,232,AHR,NHT
AHR-KO-1,NHT-KO-134,51,54,306,AHR,NHT
AHR-KO-1,NHT-KO-14,85,172,201,AHR,NHT
AHR-KO-1,NHT-KO-121,55,98,231,AHR,NHT
AHR-KO-1,NHT-KO-40,85,501,196,AHR,NHT
